nam,track,dat,genre,imag
jizue,atom,2021-09-30 16:18:02.248,japanese jazz fusion,https://i.scdn.co/image/ab67616d0000b273bd7780f0208d7d0e59157299
Garaj Mahal,Mondo Garaj,2021-09-30 16:23:36.073,jam band,https://i.scdn.co/image/ab67616d0000b27375442924afc3e62f7636427e
SEATBELTS,TANK! Virtual Session 2020,2021-09-30 16:27:16.757,none,https://i.scdn.co/image/ab67616d0000b273270897ecc14d9ec7a4fb51a7
Deerhoof,Your Dystopic Creation Doesn't Fear You,2021-09-30 16:30:12.492,art pop,https://i.scdn.co/image/ab67616d0000b273717b04bd9d3f1a101e7fb7da
leon chang,noodle cove,2021-09-30 16:32:43.020,lo-fi vgm,https://i.scdn.co/image/ab67616d0000b273a51216e2d5b2b62b8bf0ef56
Shobaleader One,The Swifty,2021-09-30 16:42:38.269,drill and bass,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
Shobaleader One,Coopers World,2021-09-30 16:48:07.324,drill and bass,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
Mort Garson,Space Walker,2021-09-30 16:57:39.037,canadian psychedelic,https://i.scdn.co/image/ab67616d0000b27398d1155455987594116ca49d
Seb Zillner,Shine,2021-09-30 17:00:59.224,lo-fi jazzhop,https://i.scdn.co/image/ab67616d0000b273f30f55fdbcd8ef5ddba19f69
Thelonious Monk,Thelonius,2021-09-30 17:04:17.332,bebop,https://i.scdn.co/image/ab67616d0000b273f9e0a27107f01f48d586f373
EMEFE,Sun Spat,2021-09-30 17:08:22.701,instrumental funk,https://i.scdn.co/image/ab67616d0000b273f150daff94c726617b4c6220
Chris Christodoulou,Now I Am Become Death,2021-09-30 17:13:17.763,indie game soundtrack,https://i.scdn.co/image/ab67616d0000b2730dd0a68edf7d1d9fb270bdc5
your best friend jippy,[05] PRETTY BANGLES,2021-09-30 17:14:29.118,none,https://i.scdn.co/image/ab67616d0000b273cfc0e077f25956dd081f2a8a
Psychedelic Porn Crumpets,Dependant on Mary,2021-09-30 17:19:16.995,australian garage punk,https://i.scdn.co/image/ab67616d0000b27345e38873f1662dab9f5bba04
