nam,track,dat,genre,imag
Shattered Skies,Attrition,2021-10-03 16:04:04.115,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Sithu Aye,Arrow + Knee = Adventure Over,2021-10-03 16:08:44.302,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Annex Theory,Process Existence,2021-10-03 16:14:30.590,none,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Shattered Skies,As the Sea Divides,2021-10-03 16:20:23.259,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Absent Distance,Hyperwill Crisis,2021-10-03 16:24:13.987,djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Aevum Nova,Puerile,2021-10-03 16:28:00.560,instrumental djent,https://i.scdn.co/image/ab67616d0000b273f6adcccab88ae18ab07b67d1
Dire Straits,Calling Elvis,2021-10-03 17:32:18.478,album rock,https://i.scdn.co/image/ab67616d0000b27377491e0e159600ec88f591c0
Shobaleader One,Coopers World,2021-10-03 17:37:48.016,none,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
Shobaleader One,Delta-V,2021-10-03 17:41:53.288,none,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
Shobaleader One,Don't Go Plastic,2021-10-03 17:49:07.868,none,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
Jean-Luc Ponty,Don't Let the World Pass You By,2021-10-03 17:55:32.324,art rock,https://i.scdn.co/image/ab67616d0000b273b5d4374a23ae05bbc834f78d
Shobaleader One,E8 Boogie,2021-10-03 18:02:29.533,none,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
I Monster,Everyone's A Loser,2021-10-03 18:05:45.703,downtempo,https://i.scdn.co/image/ab67616d0000b273a7f5262f1aaa89bc67f69352
Shobaleader One,Journey To Reedham,2021-10-03 18:12:56.874,none,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
Siriusmo,Liu,2021-10-03 18:18:17.794,electronica,https://i.scdn.co/image/ab67616d0000b27386a1b567d44835153f8deb75
Shobaleader One,Megazine,2021-10-03 18:22:50.367,none,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
St. Vincent,The Melting Of The Sun,2021-10-03 18:27:08.457,art pop,https://i.scdn.co/image/ab67616d0000b273bbd97562a9466a1883bc7229
Hiatus Kaiyote,Red Room,2021-10-03 18:31:00.902,australian r&b,https://i.scdn.co/image/ab67616d0000b27303779e10dc45b4dc78fb5302
Osees,Said the Shovel,2021-10-03 18:35:38.819,indie garage rock,https://i.scdn.co/image/ab67616d0000b273ac85287fdf557a68fb576774
Shobaleader One,Squarepusher Theme,2021-10-03 18:43:06.508,none,https://i.scdn.co/image/ab67616d0000b273404a9ff028582e85e0ca60f9
